Shear Strain,Shear Stress
0,0
0.08132780982,270.0720323
0.1626556196,321.2761654
0.2439834295,355.8091854
0.3253112393,381.0540139
0.4066390491,397.4869682
0.4879668589,413.443605
0.5692946687,422.2554791
0.6506224786,433.4489408
0.7319502884,442.9752911
0.8132780982,450.5963714
0.894605908,457.2648166
0.9759337178,462.7424681
1.057261528,468.2201195
1.138589337,474.4122472
1.219917147,477.5083111
1.301244957,483.4622801
1.382572767,486.3201852
1.463900577,492.0359954
1.545228387,495.370218
1.626556196,499.6570757
1.707884006,502.7531395
1.789211816,504.6584096
1.870539626,507.5163147
1.951867436,509.8979023
2.033195246,513.9466012
2.114523055,516.8045063
2.195850865,518.9479351
2.277178675,520.1387289
2.358506485,524.1874278
2.439834295,527.2834917
2.521162104,529.1887617
2.602489914,531.0940318
2.846473344,536.5716833
2.880359931,538.7151121
